frame	mad	above_motion
1	0.0305	0
2	0.0633	0
3	0.0288	0
4	0.0097	0
5	0.0105	0
6	0.0106	0
7	0.0014	0
8	0.0053	0
9	0.0045	0
10	0.0000	0
11	0.0147	0
12	0.0045	0
13	0.0046	0
14	0.0011	0
15	0.0044	0
16	0.0000	0
17	0.0000	0
18	36.6171	1
19	1.8301	0
20	1.2720	0
21	0.4486	0
22	0.1074	0
23	0.0195	0
24	0.0047	0
25	0.0466	0
26	0.0209	0
27	0.0061	0
28	0.0187	0
29	0.0167	0
30	0.0158	0
31	0.0002	0
32	0.0153	0
33	0.0157	0
34	0.0162	0
35	0.0159	0
36	0.0155	0
37	0.0050	0
38	0.0159	0
39	0.0155	0
40	0.0153	0
41	0.0161	0
42	0.0458	0
43	0.0260	0
44	0.0004	0
45	0.0169	0
46	0.0167	0
47	0.0239	0
48	0.0238	0
49	0.0264	0
50	0.0199	0
51	0.0226	0
52	0.0226	0
53	0.0158	0
54	0.0158	0
55	0.0054	0
56	0.0153	0
57	0.0157	0
58	0.0199	0
59	0.0207	0
60	0.0155	0
61	0.0053	0
62	0.0053	0
63	0.0799	0
64	1.4094	0
65	0.0438	0
66	0.0057	0
67	0.0080	0
68	0.0090	0
69	0.0089	0
70	0.0149	0
71	21.9696	1
72	5.5197	1
73	15.6101	1
74	0.0150	0
75	0.0199	0
76	0.0203	0
77	0.0177	0
78	0.0220	0
79	0.0083	0
80	0.0077	0
81	0.0022	0
82	0.0058	0
83	0.0226	0
84	0.0072	0
85	0.0047	0
86	0.0018	0
87	0.0015	0
88	0.0021	0
89	0.0016	0
90	0.0017	0
91	0.0015	0
92	0.0018	0
93	0.0014	0
94	0.0019	0
95	0.0006	0
96	0.0017	0
97	0.0022	0
98	0.0022	0
99	0.0019	0
100	0.0015	0
101	0.0012	0
102	0.0021	0
103	0.0017	0
104	0.0042	0
105	0.0047	0
106	0.0006	0
107	0.0029	0
108	0.0019	0
109	0.0015	0
110	0.0017	0
111	0.0008	0
112	0.0017	0
113	0.0013	0
114	0.0019	0
115	0.0010	0
116	0.0018	0
117	0.0023	0
118	0.0018	0
119	0.0014	0
120	0.0019	0
121	0.0021	0
122	0.0008	0
123	0.0023	0
124	0.0047	0
125	0.0049	0
126	0.0030	0
127	0.0029	0
128	0.0008	0
129	0.0019	0
130	0.0022	0
131	0.0021	0
132	0.0003	0
133	0.0021	0
134	0.0019	0
135	0.0015	0
136	0.0018	0
137	0.0023	0
138	0.0018	0
139	0.0006	0
140	0.0019	0
141	0.0016	0
142	0.0017	0
143	0.0016	0
144	0.0044	0
145	0.0072	0
146	0.0047	0
147	0.0022	0
148	0.0015	0
149	0.0014	0
150	0.0016	0
151	0.0017	0
152	0.0023	0
153	0.0021	0
154	0.0019	0
155	0.0005	0
156	0.0021	0
157	0.0021	0
158	0.0017	0
159	0.0009	0
